D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,hours,rank
0:0,1:1,0:0,0:0,0:0,0:0,0:1,1:2,0:0,2:1,15:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,6:8,0:0,0:0,0:0,Updated : 84 Hours Ago,4374
1:2,0:0,27:13,0:1,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 9 Hours Ago,4374
0:2,20:15,7:8,1:1,2:2,3:2,7:8,10:12,5:2,2:0,18:8,0:0,5:2,0:0,1:0,0:0,0:2,3:2,2:1,0:0,0:0,0:1,0:3,0:0,1:1,0:0,Updated : 9 Hours Ago,4374
0:2,0:0,28:30,0:2,0:0,0:0,0:0,0:0,7:4,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4373
0:0,8:8,1:2,0:1,1:3,0:0,5:5,11:7,4:3,1:1,8:6,0:0,0:0,0:0,0:0,0:2,0:0,0:1,0:2,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4373
0:0,0:0,0:1,0:0,0:0,48:32,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4373
7:7,11:9,4:1,6:4,1:2,2:2,3:2,7:5,2:0,1:1,3:3,0:2,1:1,0:0,0:0,2:1,0:0,0:2,5:4,0:0,0:0,0:1,0:1,0:0,0:1,0:0,Updated : 116 Hours Ago,4373
5:3,2:2,5:11,8:4,8:6,3:5,2:0,0:1,3:4,3:2,1:0,4:1,9:2,0:0,0:0,1:1,1:0,1:1,3:3,1:5,0:0,0:1,1:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4373
0:0,14:12,1:0,3:4,8:7,0:0,6:4,11:10,2:1,2:0,4:3,1:0,10:8,0:0,0:0,0:0,0:0,4:2,1:1,0:0,3:1,0:0,1:1,0:0,1:0,0:0,Updated : 9 Hours Ago,4373
0:2,0:0,1:1,2:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 21 Hours Ago,4372
0:0,0:0,0:0,0:0,0:0,14:11,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 17 Hours Ago,4372
0:0,1:1,1:1,0:0,0:0,0:0,10:3,0:2,0:0,0:0,3:3,0:0,0:2,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 9 Hours Ago,4372
0:0,0:0,0:0,31:21,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 39 Hours Ago,4372
0:0,0:0,6:6,35:47,0:0,0:0,0:0,0:0,0:0,71:81,0:0,2:9,0:0,10:16,0:1,0:0,23:13,0:0,0:1,4:10,0:0,0:1,3:6,0:0,3:6,0:0,Updated : 11 Hours Ago,3739
10:12,3:2,2:2,2:3,2:3,6:1,0:2,4:4,0:1,0:0,1:2,0:1,0:0,0:0,0:0,1:1,0:0,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 89 Hours Ago,4372
0:0,0:1,29:12,0:0,1:0,6:10,0:0,0:0,1:1,0:0,0:0,1:0,1:3,0:0,0:0,1:0,0:0,0:0,6:8,1:1,0:0,0:2,0:0,0:0,0:1,0:0,Updated : 19 Hours Ago,4372
8:3,0:2,1:0,1:2,0:1,0:0,0:1,0:1,0:0,1:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4371
19:9,3:2,9:11,2:5,5:1,11:15,1:2,4:3,35:24,2:4,0:1,0:0,4:2,1:0,0:1,1:0,0:0,0:0,3:5,0:0,5:1,8:6,0:1,0:0,0:1,0:0,Updated : 10 Hours Ago,4462
2:1,0:0,3:3,10:6,1:1,13:7,1:0,0:0,0:0,0:0,0:0,0:2,1:0,0:0,0:0,1:0,0:0,0:0,3:1,1:0,0:0,2:0,0:0,0:0,0:0,0:1,Updated : 14 Hours Ago,4371
1:1,8:5,0:0,1:1,0:1,3:0,8:5,18:13,1:2,1:1,4:4,0:1,5:2,0:0,0:0,0:0,0:0,2:1,3:2,0:0,0:0,0:0,2:0,0:1,1:0,0:0,Updated : 14 Hours Ago,4371
0:0,22:16,8:7,1:2,3:1,3:4,9:7,10:8,1:3,6:4,10:6,0:0,1:0,0:0,0:1,0:0,0:0,4:1,0:1,0:0,0:0,0:1,0:2,0:0,2:1,0:1,Updated : 11 Hours Ago,4371
0:0,17:13,0:0,0:1,0:1,0:0,7:16,18:10,5:1,4:6,15:12,0:0,4:2,0:1,0:0,0:0,0:0,8:7,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 98 Hours Ago,4371
12:13,39:32,1:0,4:1,5:6,0:0,22:14,2:2,10:6,0:0,5:8,0:2,0:1,0:0,0:0,0:2,0:0,4:2,12:11,0:0,0:0,0:0,0:1,0:1,0:0,0:0,Updated : 13 Hours Ago,4371
1:0,0:0,15:8,1:0,0:0,3:9,0:0,0:0,1:2,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,3:4,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 4 Hours Ago,4370
