D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,hours,rank
4:7,0:0,47:31,4:4,1:0,2:3,0:0,0:1,3:3,0:0,0:0,0:2,1:1,0:0,0:0,0:2,0:0,0:0,2:6,0:1,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4317
5:4,2:3,7:3,7:3,9:3,2:1,4:8,13:12,3:4,4:2,0:1,3:0,2:1,2:2,0:0,7:5,0:0,1:1,5:5,0:0,2:0,1:1,1:1,1:0,0:0,0:0,Updated : 56 Hours Ago,4317
17:13,11:10,2:1,11:6,3:2,0:0,6:12,12:8,2:2,3:1,0:2,0:0,5:2,0:0,1:1,0:2,0:0,1:1,4:2,0:0,0:0,4:0,0:1,0:0,0:1,0:0,Updated : 19 Hours Ago,4317
6:7,3:7,62:49,0:3,1:3,3:1,3:5,0:0,1:1,0:2,0:0,0:0,0:4,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,Updated : 11 Hours Ago,4317
0:0,0:0,0:0,0:0,0:0,0:0,10:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4316
0:0,0:0,0:0,0:0,0:0,23:19,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4316
21:12,0:1,1:1,0:1,1:3,1:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4316
0:0,0:0,4:1,0:0,0:0,1:1,1:0,0:0,0:0,0:0,27:14,0:0,0:0,0:0,1:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 122 Hours Ago,4316
1:1,2:1,2:0,0:2,0:0,0:0,0:0,9:2,0:0,30:13,0:0,0:1,0:1,1:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:1,1:1,1:0,Updated : 8 Hours Ago,4316
2:7,0:1,2:1,32:21,8:6,2:2,1:0,0:0,0:1,0:0,0:0,0:1,0:1,0:0,0:0,1:2,0:0,0:1,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4316
7:3,0:1,7:8,0:2,0:1,1:2,0:0,0:0,1:1,0:0,0:0,2:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,5:4,0:1,0:0,0:0,0:0,Updated : 10 Hours Ago,4156
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,12:12,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4315
3:1,0:0,5:5,1:0,0:0,1:1,1:1,0:0,0:1,0:1,1:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 29 Hours Ago,4315
3:1,4:10,11:4,5:5,2:3,0:0,5:7,14:9,1:0,5:5,1:3,1:0,7:8,0:3,0:1,0:0,1:0,2:1,0:0,0:0,0:0,2:1,1:4,0:0,1:1,0:0,Updated : 31 Hours Ago,4315
10:12,13:12,10:5,1:3,1:4,3:5,1:6,3:1,1:1,0:2,2:3,1:0,22:23,0:0,1:3,1:1,0:0,0:2,0:1,0:0,0:1,3:3,0:1,0:0,0:1,0:0,Updated : 24 Hours Ago,4315
1:2,4:3,2:3,1:5,5:5,3:3,41:31,4:2,1:2,3:4,2:1,2:1,6:12,0:1,2:3,0:0,2:1,1:1,2:2,0:0,0:0,1:1,0:4,1:0,1:1,0:1,Updated : 15 Hours Ago,4315
7:7,3:4,0:0,46:40,31:24,0:1,1:1,2:2,0:0,7:6,0:0,0:0,1:2,1:1,1:2,1:1,1:0,3:8,0:0,0:1,0:0,1:0,0:0,0:1,0:1,0:0,Updated : 60 Min. Ago,4315
2:3,17:13,27:19,4:2,1:1,0:2,14:16,28:24,2:1,1:0,2:2,1:1,5:3,0:1,0:0,1:0,0:1,0:1,13:10,0:0,0:0,0:1,0:2,0:0,0:1,0:0,Updated : 48 Hours Ago,4315
18:6,18:28,72:37,6:5,11:4,13:9,21:22,13:12,18:14,5:5,17:22,2:2,4:3,0:1,0:0,1:0,0:3,5:6,4:3,2:4,1:3,0:1,0:2,0:1,0:0,0:0,Updated : 10 Hours Ago,4315
0:0,0:2,0:0,0:0,0:0,0:0,3:1,1:0,0:0,0:0,2:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4314
1:5,0:0,0:0,0:0,0:0,24:27,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4314
0:1,12:2,0:1,0:0,0:0,0:0,8:3,2:1,0:0,2:0,4:4,0:0,4:2,4:4,0:0,0:0,0:1,2:1,0:0,0:0,0:0,0:0,0:2,1:0,0:0,0:0,Updated : 30 Hours Ago,4314
1:0,0:0,20:21,2:2,0:0,6:6,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,1:0,0:0,0:0,Updated : 12 Hours Ago,4314
19:20,1:1,1:3,2:1,1:1,6:5,0:1,0:1,6:4,0:0,0:0,0:2,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 17 Hours Ago,4314
0:0,0:0,2:3,1:0,0:1,40:33,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,1:0,0:0,0:0,2:1,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4314
13:9,6:3,3:4,10:4,2:0,1:2,3:5,16:8,1:0,7:6,0:1,0:1,1:2,1:0,0:0,1:0,0:0,3:1,3:3,0:0,0:0,2:1,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4314
7:8,3:3,7:1,4:2,6:3,3:6,8:6,10:8,0:1,2:0,3:5,1:0,1:1,1:0,1:0,0:1,10:5,11:3,1:1,0:0,0:0,0:0,1:1,0:1,0:0,0:0,Updated : 93 Hours Ago,4314
1:0,9:21,1:0,16:10,0:0,0:0,29:13,0:0,1:0,5:3,16:8,0:1,0:0,0:0,1:1,0:0,1:2,0:2,1:1,0:0,1:1,0:0,1:4,1:1,1:1,0:0,Updated : 18 Hours Ago,4314
0:0,1:1,2:1,0:0,0:0,0:0,0:1,0:0,2:0,0:0,105:61,0:1,3:3,0:0,0:1,0:0,0:1,0:0,0:0,0:0,1:1,0:0,0:0,0:0,1:0,0:0,Updated : 13 Hours Ago,4314
0:0,0:0,3:2,0:1,0:0,6:2,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 9 Hours Ago,4313
28:17,0:1,0:2,0:1,1:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,2:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4313
3:1,1:3,16:16,1:0,1:0,4:3,0:0,0:0,4:4,0:0,0:0,1:0,1:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4313
0:0,5:6,1:1,3:1,0:1,0:0,8:9,16:11,1:1,1:1,3:4,0:0,3:2,0:1,1:1,0:0,0:1,0:1,4:1,0:0,0:0,1:1,1:2,0:0,0:0,0:0,Updated : 12 Hours Ago,4313
9:13,1:0,4:2,7:9,2:1,5:1,0:0,24:15,1:1,1:0,0:0,8:4,2:2,0:0,0:0,2:3,0:0,1:2,9:8,1:0,0:1,0:1,0:0,0:0,0:0,0:0,Updated : 9 Hours Ago,4313
16:13,7:10,8:12,42:16,3:4,16:12,3:5,3:3,6:4,2:6,0:1,2:2,0:4,0:0,0:2,2:1,0:0,1:2,10:10,0:0,0:0,0:1,0:0,0:0,0:1,0:0,Updated : 10 Hours Ago,4313
0:0,0:0,0:1,0:0,0:0,3:9,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4312
0:0,8:7,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,2:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4312
3:1,0:1,0:1,0:1,0:1,0:0,1:0,1:0,8:5,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4312
1:2,0:1,6:9,0:0,0:0,4:3,1:0,0:0,18:12,0:0,0:0,0:0,1:0,0:0,0:0,3:1,0:0,0:0,3:0,0:0,0:0,5:5,0:0,0:0,0:0,0:0,Updated : 132 Hours Ago,4312
1:4,9:4,15:14,1:1,0:0,3:6,20:14,0:1,1:3,1:0,18:8,1:1,1:2,0:1,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 62 Hours Ago,4312
1:1,85:60,0:1,1:1,0:2,0:0,18:20,5:6,0:0,0:1,2:3,0:0,3:2,1:2,0:1,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4312
0:0,0:0,0:0,0:0,0:0,10:12,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4311
0:1,0:0,0:1,0:0,0:0,14:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,Updated : 36 Hours Ago,4311
5:6,0:0,6:0,0:0,2:1,0:0,0:1,0:0,0:2,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4311
1:1,5:3,4:3,0:0,0:1,0:0,0:1,2:1,0:1,0:0,1:1,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 9 Hours Ago,4311
10:2,0:2,2:0,0:0,1:1,1:2,2:4,0:0,2:0,0:0,0:1,0:1,1:1,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4311
0:0,1:1,7:4,3:3,0:6,0:0,14:5,1:1,0:1,0:0,3:0,0:0,2:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 20 Hours Ago,4311
2:0,3:3,8:8,1:2,2:0,2:2,2:4,4:3,4:4,1:1,1:4,0:1,3:2,0:1,0:1,0:2,0:1,1:0,1:0,0:0,0:1,2:2,0:1,0:0,0:1,0:0,Updated : 9 Hours Ago,4311
0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,36:27,0:9,0:0,0:0,0:0,0:0,0:0,0:0,1:4,0:0,0:0,0:0,0:0,0:6,0:0,0:0,0:0,Updated : 44 Min. Ago,4311
3:3,19:15,4:3,0:1,1:0,1:2,4:4,8:3,0:0,4:5,1:4,0:1,0:2,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,Updated : 12 Hours Ago,4311
2:3,0:1,27:12,24:24,0:0,0:0,1:5,0:1,9:6,0:0,0:0,0:0,13:14,0:0,3:2,3:5,0:0,0:0,7:7,0:0,0:0,3:4,0:1,0:0,0:0,0:0,Updated : 14 Hours Ago,4311
1:0,1:0,0:0,1:1,2:1,0:0,0:1,0:2,0:1,1:1,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:1,2:2,0:0,0:0,0:0,Updated : 12 Hours Ago,4310
1:0,0:0,0:0,3:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,1:1,0:0,0:0,0:0,12:5,0:0,0:0,5:6,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4310
0:0,0:0,9:6,0:0,0:0,4:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,8:6,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4310
0:2,0:0,0:0,3:2,0:0,3:1,0:0,0:0,0:1,0:0,0:1,1:2,0:0,0:0,0:0,0:0,21:17,0:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4310
8:8,0:0,6:7,0:0,0:0,32:22,0:0,0:0,1:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4310
0:0,0:0,62:37,1:2,0:0,2:13,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,6:0,0:0,0:1,0:0,0:0,Updated : 15 Hours Ago,4310
0:1,0:0,37:25,2:1,7:10,18:20,0:0,0:0,1:1,0:0,0:0,1:0,1:2,0:0,0:0,2:3,0:0,0:0,3:3,1:2,0:0,8:4,0:0,0:0,0:0,0:0,Updated : 37 Hours Ago,4310
32:21,43:40,18:16,2:2,1:1,0:1,4:6,2:2,2:1,0:1,1:0,0:0,4:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,Updated : 9 Hours Ago,4310
13:9,13:15,3:1,5:2,2:0,2:10,24:25,2:4,0:1,4:10,28:28,0:1,0:1,1:1,0:1,0:0,0:1,2:1,1:1,0:0,0:1,1:0,1:2,0:2,0:1,0:0,Updated : 111 Hours Ago,4310
2:2,0:0,0:0,0:3,0:0,1:1,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 39 Min. Ago,4309
0:0,0:0,0:0,0:0,0:0,18:9,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4309
0:0,1:1,0:0,0:0,3:1,0:0,1:1,16:6,0:0,0:1,0:0,0:0,1:1,0:0,2:1,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:1,0:0,0:0,0:0,Updated : 20 Hours Ago,4309
1:1,2:1,20:6,0:1,1:2,1:3,0:1,0:2,2:0,0:1,1:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 20 Hours Ago,4309
0:0,0:0,1:0,3:5,0:0,0:1,0:0,0:0,0:0,0:0,0:0,3:4,0:0,0:0,0:0,1:2,0:0,0:0,24:14,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 39 Hours Ago,4309
0:0,0:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,40:27,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 41 Hours Ago,4309
2:1,8:5,0:2,4:3,0:2,0:0,3:3,5:4,3:1,1:1,3:1,0:0,8:4,0:0,0:0,2:0,0:0,0:1,2:3,0:1,0:0,1:1,0:1,0:0,0:0,0:0,Updated : 10 Hours Ago,4309
33:14,0:0,1:3,4:6,7:6,1:1,1:1,0:0,0:1,0:1,1:1,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4309
0:0,0:0,8:5,0:1,0:0,43:29,0:1,0:0,2:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 39 Hours Ago,4309
0:0,0:0,0:0,0:0,0:0,0:0,0:0,10:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 87 Hours Ago,4308
1:0,1:2,0:1,1:2,0:0,0:0,0:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4308
3:0,0:0,22:16,0:0,0:0,2:2,0:0,0:0,3:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 23 Hours Ago,4308
3:4,0:0,0:0,9:7,2:4,0:2,1:2,0:0,6:3,0:0,0:0,1:0,0:0,0:0,0:0,2:0,0:0,0:0,12:3,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 28 Hours Ago,4308
0:0,0:0,0:0,38:23,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 134 Hours Ago,4308
12:8,0:1,5:3,12:6,2:1,6:3,1:1,1:0,0:2,0:1,0:0,2:1,0:1,0:0,0:0,1:3,0:0,0:0,5:6,0:0,1:0,1:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4308
5:9,0:0,0:2,0:0,0:0,67:46,0:0,0:1,2:4,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 8 Hours Ago,4308
2:0,0:0,0:3,0:1,0:0,0:0,0:0,3:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 72 Hours Ago,4307
1:1,0:0,1:1,2:0,0:0,3:1,0:0,3:0,2:1,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,4307
0:1,0:0,5:3,0:0,0:1,5:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 210 Hours Ago,4307
0:0,0:0,0:3,0:0,0:0,2:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,16:7,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4307
0:0,3:2,0:1,1:0,0:1,1:0,7:4,1:1,0:0,0:0,3:3,0:1,0:0,0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4307
10:9,0:0,3:1,0:1,1:0,2:1,1:1,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 86 Hours Ago,4307
5:3,0:2,3:4,0:0,1:0,0:3,5:5,0:0,0:0,0:0,0:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,0:1,6:3,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 16 Hours Ago,4307
6:5,6:7,1:2,3:1,5:3,0:0,0:0,0:0,0:1,0:0,1:0,0:0,1:1,0:0,0:0,0:0,0:0,2:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4307
1:3,2:5,2:6,10:5,0:0,3:1,1:0,3:3,0:1,0:0,0:0,1:0,1:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4307
0:0,0:0,0:0,0:0,0:1,33:20,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4307
0:1,8:5,0:0,1:0,9:6,0:0,6:5,0:1,0:0,0:0,4:4,0:0,2:1,0:0,0:0,0:0,1:1,1:0,0:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 39 Hours Ago,4307
5:4,0:0,0:1,6:3,0:0,0:0,10:9,0:0,1:3,0:0,9:6,0:1,2:3,0:0,0:0,0:0,0:0,0:1,1:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 15 Hours Ago,4307
11:5,2:0,5:4,17:9,2:0,0:0,0:0,1:0,1:0,0:1,0:0,1:1,0:1,0:0,0:0,1:2,0:0,0:0,4:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 9 Min. Ago,4307
2:6,3:4,12:4,0:2,0:2,3:3,2:2,6:6,1:2,3:2,3:2,0:0,0:1,1:0,0:0,1:0,0:0,5:3,2:1,0:0,0:0,0:2,0:1,0:0,0:0,0:0,Updated : 84 Hours Ago,4307
0:0,25:14,3:5,0:0,1:1,0:0,7:6,4:3,0:1,0:1,4:3,0:0,7:3,0:0,0:0,0:0,0:0,2:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 90 Hours Ago,4307
39:28,42:36,5:6,4:3,7:9,0:0,17:23,3:3,10:7,5:3,17:20,6:3,45:37,0:1,0:0,0:1,0:1,5:9,3:4,0:0,0:0,6:5,0:2,0:1,0:0,0:1,Updated : 14 Hours Ago,4307
0:0,1:1,0:1,1:0,1:0,1:1,0:1,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 326 Hours Ago,4306
0:1,2:0,0:1,0:0,0:0,0:0,1:0,0:0,0:1,0:1,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 15 Hours Ago,4306
0:0,0:0,9:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 25 Hours Ago,4306
0:0,3:1,1:2,0:1,0:0,0:1,2:1,4:1,0:1,0:0,1:1,1:1,1:1,0:0,0:0,2:1,0:0,0:0,0:2,0:0,0:0,0:1,1:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4306
6:3,0:1,1:2,0:1,1:1,0:1,0:1,11:10,0:0,2:2,0:0,1:0,1:6,0:0,0:0,2:1,0:0,3:2,3:3,0:0,1:0,0:1,0:1,1:0,0:0,0:0,Updated : 12 Hours Ago,4306
0:0,11:4,0:3,0:0,1:0,1:4,4:2,18:10,0:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,1:1,0:2,0:0,0:0,3:0,0:0,0:0,0:0,0:0,Updated : 28 Hours Ago,4306
0:1,0:0,0:1,0:0,0:0,39:29,0:0,0:0,0:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:4,0:1,0:0,0:1,0:0,Updated : 17 Hours Ago,4306
3:3,0:0,1:1,1:4,3:5,0:0,0:1,0:0,1:1,20:20,0:0,3:4,0:1,0:1,0:0,11:9,0:0,1:1,27:20,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 45 Hours Ago,4306
1:2,4:7,0:3,3:3,3:3,0:0,2:2,25:24,1:1,11:7,2:3,0:1,5:4,0:0,0:1,0:1,0:0,11:9,1:1,0:0,1:0,0:0,0:1,0:0,2:0,0:0,Updated : 14 Hours Ago,4306
6:2,1:2,3:4,11:11,1:1,9:8,1:4,9:7,10:3,0:1,0:1,2:3,3:8,16:14,1:1,0:1,0:2,2:6,2:0,1:0,0:1,1:1,0:2,0:0,1:1,0:0,Updated : 21 Hours Ago,4306
0:0,1:1,1:0,0:0,0:0,0:0,2:0,0:1,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4305
3:2,0:1,1:0,2:1,0:0,0:0,0:0,0:0,1:0,0:0,0:1,0:0,1:1,0:0,0:0,0:0,0:0,5:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 148 Hours Ago,4305
1:2,8:5,2:0,0:2,0:0,0:0,1:2,0:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4305
1:1,4:0,1:2,2:0,3:0,0:0,1:0,1:1,0:0,0:0,0:0,0:1,6:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 27 Hours Ago,4305
3:5,0:0,15:9,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 105 Hours Ago,4305
0:0,1:0,0:1,1:1,0:1,0:0,1:3,0:4,18:9,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,4305
0:0,4:6,0:0,0:0,1:0,0:0,7:4,2:6,0:0,2:1,6:6,0:0,1:0,2:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 182 Hours Ago,4305
5:8,2:2,0:2,3:3,0:0,1:3,0:1,2:2,1:0,0:0,0:2,1:1,0:0,0:1,0:0,0:2,0:0,1:1,8:7,0:1,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4305
0:0,6:4,4:3,0:0,0:0,2:0,7:5,10:7,1:1,2:2,2:0,0:0,4:3,0:0,0:0,0:0,0:0,2:1,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:1,Updated : 17 Hours Ago,4305
0:1,0:0,0:2,0:0,0:0,50:37,0:0,0:0,1:1,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,Updated : 134 Hours Ago,4305
1:2,2:5,5:5,3:5,2:3,1:1,4:4,7:6,3:4,0:0,0:3,0:0,13:13,0:0,0:0,1:0,0:0,0:1,2:0,0:0,0:0,0:0,0:2,0:0,1:0,0:0,Updated : 16 Hours Ago,4305
12:5,26:21,0:4,0:2,1:1,1:1,3:5,0:0,2:2,0:0,1:3,0:1,7:3,0:0,0:0,1:1,0:0,0:1,1:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,Updated : 13 Hours Ago,4305
